Max, 9279, Obj, 721, Reliability, 13.33333%, HowOften, 4, When, 324
Generation, Min, Avg, Max, Obj
203, 9192.066, 9209.334, 9246.967, 753.0333
204, 9192.634, 9209.778, 9246.967, 753.0333
205, 9193.333, 9210.261, 9246.967, 753.0333
206, 9194.167, 9210.771, 9246.967, 753.0333
207, 9194.7, 9211.161, 9246.967, 753.0333
208, 9195.467, 9211.672, 9246.967, 753.0333
209, 9196.033, 9212.113, 9247.033, 752.9667
210, 9197, 9212.562, 9247.033, 752.9667
211, 9197.533, 9213.049, 9247.033, 752.9667
212, 9198.3, 9213.49, 9247.033, 752.9667
213, 9198.934, 9213.899, 9247.033, 752.9667
214, 9199.434, 9214.287, 9247.033, 752.9667
215, 9200.134, 9214.721, 9247.233, 752.7667
216, 9200.533, 9215.018, 9247.3, 752.7
217, 9201.1, 9215.438, 9247.333, 752.6667
218, 9201.667, 9215.811, 9247.366, 752.6334
219, 9202.167, 9216.192, 9247.366, 752.6334
220, 9202.8, 9216.505, 9247.434, 752.5667
221, 9203.2, 9216.798, 9247.434, 752.5667
222, 9203.833, 9217.259, 9247.833, 752.1667
223, 9204.2, 9217.646, 9247.833, 752.1667
224, 9204.6, 9218.024, 9248, 752
225, 9205.233, 9218.396, 9248, 752
226, 9205.667, 9218.748, 9248.066, 751.9333
227, 9206.366, 9219.097, 9248.1, 751.9
228, 9206.8, 9219.426, 9248.267, 751.7333
229, 9207, 9219.735, 9248.267, 751.7333
230, 9207.566, 9220.104, 9248.467, 751.5333
231, 9208.066, 9220.449, 9248.5, 751.5
232, 9208.533, 9220.785, 9248.5, 751.5
233, 9208.9, 9221.059, 9248.7, 751.3
234, 9209.5, 9221.498, 9248.8, 751.2
235, 9209.967, 9221.806, 9248.8, 751.2
236, 9210.566, 9222.125, 9248.8, 751.2
237, 9210.967, 9222.415, 9248.8, 751.2
238, 9211.4, 9222.731, 9249.033, 750.9667
239, 9211.7, 9223.085, 9249.366, 750.6334
240, 9212.2, 9223.417, 9249.366, 750.6334
241, 9212.833, 9223.744, 9249.366, 750.6334
242, 9213.167, 9224.032, 9249.366, 750.6334
243, 9213.667, 9224.421, 9249.5, 750.5
244, 9214.2, 9224.707, 9249.5, 750.5
245, 9214.8, 9225.033, 9249.6, 750.4
246, 9215.267, 9225.354, 9249.667, 750.3333
247, 9215.767, 9225.643, 9249.733, 750.2667
248, 9216.3, 9225.932, 9249.733, 750.2667
249, 9216.7, 9226.19, 9249.8, 750.2
250, 9217.134, 9226.433, 9249.9, 750.1
