Max, 9466, Obj, 534, Reliability, 86.66666%, HowOften, 26, When, 139.1538
Generation, Min, Avg, Max, Obj
232, 9462.533, 9462.813, 9464.533, 535.4667
233, 9462.533, 9462.832, 9464.533, 535.4667
234, 9462.533, 9462.846, 9464.533, 535.4667
235, 9462.533, 9462.859, 9464.533, 535.4667
236, 9462.533, 9462.875, 9464.533, 535.4667
237, 9462.533, 9462.894, 9464.533, 535.4667
238, 9462.533, 9462.92, 9464.533, 535.4667
239, 9462.533, 9462.95, 9464.533, 535.4667
240, 9462.566, 9462.981, 9464.533, 535.4667
241, 9462.566, 9463.006, 9464.533, 535.4667
242, 9462.566, 9463.047, 9464.533, 535.4667
243, 9462.6, 9463.081, 9464.533, 535.4667
244, 9462.667, 9463.125, 9464.533, 535.4667
245, 9462.733, 9463.17, 9464.533, 535.4667
246, 9462.866, 9463.193, 9464.767, 535.2333
247, 9462.866, 9463.217, 9464.767, 535.2333
248, 9462.866, 9463.251, 9464.767, 535.2333
249, 9462.866, 9463.288, 9464.767, 535.2333
250, 9462.866, 9463.322, 9464.767, 535.2333
251, 9462.967, 9463.351, 9464.767, 535.2333
252, 9463.066, 9463.382, 9464.767, 535.2333
253, 9463.134, 9463.416, 9464.833, 535.1667
254, 9463.167, 9463.439, 9464.866, 535.1334
255, 9463.167, 9463.46, 9464.866, 535.1334
256, 9463.2, 9463.474, 9464.866, 535.1334
257, 9463.2, 9463.498, 9464.866, 535.1334
258, 9463.2, 9463.52, 9464.866, 535.1334
259, 9463.2, 9463.538, 9464.866, 535.1334
260, 9463.2, 9463.556, 9464.866, 535.1334
261, 9463.2, 9463.58, 9464.866, 535.1334
262, 9463.2, 9463.606, 9464.866, 535.1334
263, 9463.2, 9463.631, 9464.866, 535.1334
264, 9463.3, 9463.667, 9464.866, 535.1334
265, 9463.3, 9463.699, 9464.866, 535.1334
266, 9463.3, 9463.73, 9464.866, 535.1334
267, 9463.3, 9463.752, 9464.866, 535.1334
268, 9463.3, 9463.79, 9464.866, 535.1334
269, 9463.333, 9463.825, 9464.866, 535.1334
270, 9463.4, 9463.855, 9464.866, 535.1334
271, 9463.467, 9463.896, 9464.866, 535.1334
272, 9463.5, 9463.928, 9464.866, 535.1334
273, 9463.6, 9463.967, 9464.866, 535.1334
274, 9463.7, 9463.991, 9464.866, 535.1334
275, 9463.7, 9464.013, 9464.866, 535.1334
276, 9463.7, 9464.037, 9464.866, 535.1334
277, 9463.7, 9464.059, 9464.866, 535.1334
278, 9463.767, 9464.082, 9464.866, 535.1334
279, 9463.767, 9464.101, 9464.866, 535.1334
280, 9463.866, 9464.119, 9464.866, 535.1334
281, 9463.9, 9464.138, 9464.866, 535.1334
282, 9463.967, 9464.149, 9464.866, 535.1334
283, 9464, 9464.154, 9464.866, 535.1334
284, 9464, 9464.161, 9464.866, 535.1334
285, 9464, 9464.173, 9464.866, 535.1334
286, 9464, 9464.186, 9464.866, 535.1334
287, 9464, 9464.198, 9464.866, 535.1334
288, 9464, 9464.208, 9464.866, 535.1334
289, 9464.066, 9464.221, 9464.866, 535.1334
290, 9464.066, 9464.229, 9464.866, 535.1334
291, 9464.066, 9464.235, 9464.866, 535.1334
292, 9464.066, 9464.25, 9464.866, 535.1334
293, 9464.066, 9464.265, 9464.866, 535.1334
294, 9464.066, 9464.281, 9464.866, 535.1334
295, 9464.066, 9464.298, 9464.866, 535.1334
296, 9464.066, 9464.315, 9464.866, 535.1334
297, 9464.066, 9464.34, 9464.866, 535.1334
298, 9464.066, 9464.368, 9464.866, 535.1334
299, 9464.1, 9464.394, 9464.866, 535.1334
300, 9464.1, 9464.423, 9464.866, 535.1334
301, 9464.134, 9464.451, 9464.866, 535.1334
302, 9464.267, 9464.473, 9464.866, 535.1334
303, 9464.3, 9464.487, 9464.866, 535.1334
304, 9464.366, 9464.5, 9464.866, 535.1334
305, 9464.366, 9464.504, 9464.866, 535.1334
306, 9464.4, 9464.513, 9464.866, 535.1334
307, 9464.4, 9464.516, 9464.866, 535.1334
308, 9464.4, 9464.522, 9464.866, 535.1334
309, 9464.434, 9464.526, 9464.866, 535.1334
310, 9464.434, 9464.533, 9464.866, 535.1334
311, 9464.434, 9464.54, 9464.866, 535.1334
312, 9464.434, 9464.544, 9464.866, 535.1334
313, 9464.434, 9464.546, 9464.866, 535.1334
314, 9464.434, 9464.55, 9464.866, 535.1334
315, 9464.434, 9464.554, 9464.866, 535.1334
316, 9464.434, 9464.558, 9464.866, 535.1334
317, 9464.467, 9464.563, 9464.866, 535.1334
318, 9464.467, 9464.565, 9464.866, 535.1334
319, 9464.467, 9464.566, 9464.866, 535.1334
320, 9464.467, 9464.572, 9464.866, 535.1334
321, 9464.467, 9464.577, 9464.866, 535.1334
322, 9464.467, 9464.58, 9464.866, 535.1334
323, 9464.467, 9464.588, 9464.866, 535.1334
324, 9464.467, 9464.592, 9464.866, 535.1334
325, 9464.467, 9464.598, 9464.866, 535.1334
326, 9464.467, 9464.604, 9464.866, 535.1334
327, 9464.467, 9464.61, 9464.866, 535.1334
328, 9464.467, 9464.618, 9464.866, 535.1334
329, 9464.5, 9464.623, 9464.866, 535.1334
330, 9464.5, 9464.629, 9464.866, 535.1334
331, 9464.5, 9464.641, 9464.866, 535.1334
332, 9464.5, 9464.646, 9464.866, 535.1334
333, 9464.5, 9464.654, 9464.866, 535.1334
334, 9464.5, 9464.663, 9464.866, 535.1334
335, 9464.5, 9464.673, 9464.866, 535.1334
336, 9464.5, 9464.684, 9464.866, 535.1334
337, 9464.533, 9464.693, 9464.866, 535.1334
338, 9464.533, 9464.704, 9464.866, 535.1334
339, 9464.533, 9464.717, 9464.866, 535.1334
340, 9464.533, 9464.729, 9464.866, 535.1334
341, 9464.566, 9464.739, 9464.866, 535.1334
342, 9464.6, 9464.748, 9464.866, 535.1334
343, 9464.634, 9464.754, 9464.866, 535.1334
344, 9464.7, 9464.765, 9464.866, 535.1334
345, 9464.7, 9464.771, 9464.866, 535.1334
346, 9464.7, 9464.776, 9464.866, 535.1334
347, 9464.7, 9464.783, 9464.866, 535.1334
348, 9464.7, 9464.79, 9464.866, 535.1334
349, 9464.7, 9464.796, 9464.866, 535.1334
350, 9464.7, 9464.802, 9464.866, 535.1334
351, 9464.7, 9464.81, 9464.866, 535.1334
352, 9464.7, 9464.817, 9464.866, 535.1334
353, 9464.7, 9464.822, 9464.866, 535.1334
354, 9464.767, 9464.825, 9464.866, 535.1334
355, 9464.767, 9464.83, 9464.866, 535.1334
356, 9464.767, 9464.833, 9464.866, 535.1334
357, 9464.767, 9464.837, 9464.866, 535.1334
358, 9464.8, 9464.841, 9464.866, 535.1334
359, 9464.833, 9464.842, 9464.866, 535.1334
360, 9464.833, 9464.842, 9464.866, 535.1334
361, 9464.833, 9464.842, 9464.866, 535.1334
362, 9464.833, 9464.843, 9464.866, 535.1334
363, 9464.833, 9464.844, 9464.866, 535.1334
364, 9464.833, 9464.844, 9464.866, 535.1334
365, 9464.833, 9464.844, 9464.866, 535.1334
366, 9464.833, 9464.845, 9464.866, 535.1334
367, 9464.833, 9464.845, 9464.866, 535.1334
368, 9464.833, 9464.846, 9464.866, 535.1334
369, 9464.833, 9464.846, 9464.866, 535.1334
370, 9464.833, 9464.847, 9464.866, 535.1334
371, 9464.833, 9464.848, 9464.866, 535.1334
372, 9464.833, 9464.848, 9464.866, 535.1334
373, 9464.833, 9464.85, 9464.866, 535.1334
374, 9464.833, 9464.85, 9464.866, 535.1334
375, 9464.833, 9464.851, 9464.866, 535.1334
376, 9464.833, 9464.853, 9464.866, 535.1334
377, 9464.833, 9464.854, 9464.866, 535.1334
378, 9464.833, 9464.854, 9464.866, 535.1334
379, 9464.833, 9464.856, 9464.866, 535.1334
380, 9464.833, 9464.856, 9464.866, 535.1334
381, 9464.833, 9464.858, 9464.866, 535.1334
382, 9464.833, 9464.858, 9464.866, 535.1334
383, 9464.833, 9464.86, 9464.866, 535.1334
384, 9464.833, 9464.862, 9464.866, 535.1334
385, 9464.833, 9464.864, 9464.866, 535.1334
386, 9464.833, 9464.866, 9464.866, 535.1334
387, 9464.866, 9464.866, 9464.866, 535.1334
388, 9464.866, 9464.866, 9464.866, 535.1334
389, 9464.866, 9464.868, 9465.1, 534.9
390, 9464.866, 9464.868, 9465.1, 534.9
391, 9464.866, 9464.868, 9465.1, 534.9
392, 9464.866, 9464.869, 9465.1, 534.9
393, 9464.866, 9464.871, 9465.1, 534.9
394, 9464.866, 9464.871, 9465.1, 534.9
395, 9464.866, 9464.873, 9465.1, 534.9
396, 9464.866, 9464.873, 9465.1, 534.9
397, 9464.866, 9464.873, 9465.1, 534.9
398, 9464.866, 9464.875, 9465.1, 534.9
399, 9464.866, 9464.875, 9465.1, 534.9
